지역,시기,대분류,항목,유형,6열,7열,8열,9열,10열
경기도,8월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,61,70,100,120,150
강원도,8월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,139,159,164,175
충청도,8월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,54,60,100,120,150
전라도,8월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,70,109,145,190
경상도,8월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,140,143
제주도,8월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,113,-,-
전국,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,135,154,200
수도권,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,143,173,220
비수도권,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,110,130,150,180
서울(강남),7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,111,129,150,200,225
서울(강남외),7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,105,129,153,205
부산,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,142,165
대구,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,150,180
인천,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,150,150
광주,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,88,150,176,319
대전,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,125,-,-
울산,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,120,130,143,172
경기도,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,61,70,100,120,150
강원도,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,139,159,164,175
충청도,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,54,60,100,120,150
전라도,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,70,109,145,190
경상도,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,140,143
제주도,7월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,105,105,113,-,-
전국,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,70,115,135,154,200
수도권,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,143,173,220
비수도권,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,110,130,150,180
서울(강남),6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,111,129,150,200,225
서울(강남외),6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,105,129,153,205
부산,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,110,120,130,142,165
대구,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,120,129,140,150,180
인천,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,83,120,130,150,150
광주,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,66,88,150,176,319
대전,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,125,125,125,-,-
울산,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,68,120,130,143,172
경기도,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,61,70,100,120,150
강원도,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,85,139,159,164,175
충청도,6월,스튜디오,"20페이지 앨범, 20R 액자 제공",필수,54,60,100,120,150
